Date : 2022-06-23 18:42:33
Directory : c:\xampp\htdocs\Projet_fin_d_etude
Total : 279 files,  40033 codes, 1993 comments, 2031 blanks, all 44057 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          7 |     25,121 |          0 |          7 |     25,128 |
| PHP        |        220 |      7,918 |      1,639 |      1,521 |     11,078 |
| SCSS       |         41 |      3,181 |          2 |        120 |      3,303 |
| CSS        |          3 |      3,097 |          6 |         65 |      3,168 |
| JavaScript |          5 |        631 |        344 |        295 |      1,270 |
| Markdown   |          1 |         44 |          0 |         21 |         65 |
| XML        |          1 |         29 |          2 |          1 |         32 |
| YAML       |          1 |         12 |          0 |          1 |         13 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |        279 |     40,033 |      1,993 |      2,031 |     44,057 |
| app                                                                                                               |        100 |      3,375 |        325 |        818 |      4,518 |
| app\Console                                                                                                       |          1 |         15 |         12 |          6 |         33 |
| app\Exceptions                                                                                                    |          1 |         19 |         17 |          6 |         42 |
| app\Http                                                                                                          |         75 |      2,912 |        234 |        662 |      3,808 |
| app\Http\Controllers                                                                                              |          8 |        119 |        127 |         50 |        296 |
| app\Http\Controllers\Auth                                                                                         |          6 |         95 |        117 |         41 |        253 |
| app\Http\Livewire                                                                                                 |         58 |      2,661 |         34 |        570 |      3,265 |
| app\Http\Livewire\Auth                                                                                            |          3 |        130 |          0 |         35 |        165 |
| app\Http\Livewire\Elearning                                                                                       |         23 |      1,044 |          6 |        223 |      1,273 |
| app\Http\Livewire\Elearning\Enseignants                                                                           |          1 |         28 |          0 |          9 |         37 |
| app\Http\Livewire\Elearning\Etudiants                                                                             |          1 |         18 |          0 |          5 |         23 |
| app\Http\Livewire\Elearning\Modules                                                                               |         20 |        978 |          6 |        203 |      1,187 |
| app\Http\Livewire\Elearning\Modules\Notes                                                                         |          4 |        276 |          5 |         48 |        329 |
| app\Http\Livewire\Elearning\Modules\Questions                                                                     |          7 |        251 |          0 |         56 |        307 |
| app\Http\Livewire\Elearning\Modules\Questions\Reponses                                                            |          2 |         64 |          0 |         16 |         80 |
| app\Http\Livewire\Enseignants                                                                                     |          2 |        188 |          6 |         33 |        227 |
| app\Http\Livewire\Moderator                                                                                       |          3 |         93 |          0 |         20 |        113 |
| app\Http\Livewire\Parts                                                                                           |          1 |         23 |          0 |          8 |         31 |
| app\Http\Livewire\Posts                                                                                           |         12 |        493 |          7 |         96 |        596 |
| app\Http\Livewire\Profile                                                                                         |          5 |        253 |          5 |         53 |        311 |
| app\Http\Livewire\Resources                                                                                       |          5 |        220 |          2 |         54 |        276 |
